code,term,definition,comment
50029250,Granules for use in drinking water,"Solid preparation for veterinary use consisting of granules intended to be dissolved in the animal drinking water. If alternative methods of administration to individual animals are also authorised, the method of administration is clearly described in the product information.",
50029500,Granules for vaginal solution,"Solid preparation consisting of aggregated particles that may include excipients to facilitate wetting and dissolution, intended to be dissolved in the specified liquid to obtain a vaginal solution, which is usually prepared just before administration to the patient.",
50029600,Hard capsule with gastro-resistant pellets,,"Term rejected. Such formulations are covered by the term 'Gastro-resistant capsule, hard'."
50029800,Inhalation impregnated pad,,Use discouraged.
50030000,"Inhalation powder, tablet","Solid multidose preparation intended for inhalation use. The dose of inhalation powder is generated from the tablet by a metering mechanism within the inhaler, for example by scraping off a small amount of powder from the tablet.",
50031000,"Inhalation vapour, effervescent tablet","Solid preparation consisting of a tablet usually containing acid substances and carbonates or hydrogen carbonates that react rapidly in the presence of aqueous liquid to release carbon dioxide, intended for generation of vapour to be inhaled to obtain a local effect. The vapour may be generated by adding the tablet to hot water.",
50032000,"Inhalation vapour, emulsion",Liquid preparation consisting of an emulsion intended for generation of vapour to be inhaled to obtain a local effect. The vapour may be generated by adding the emulsion to hot water.,
50033000,"Inhalation vapour, impregnated pad","Solid preparation consisting of a piece of absorbent material impregnated usually with a liquid or semi-solid preparation, intended for generation of vapour to be inhaled to obtain a local effect.","After reconsideration of this term, and for reasons of consistency with other related terms, this term replaces 'Inhalation impregnated pad'."
50033100,"Inhalation vapour, impregnated plug","Solid preparation consisting of an impregnated plug that generates a vapour to be inhaled, for example by the patient inhaling through a device containing the plug, thereby drawing air through or over it and vaporising the active ingredient(s) impregnated therein.",
50033300,Intrauterine foam,"Liquid preparation for veterinary use, usually presented in a pressurised container provided with an applicator suitable for delivery to the uterus of foam containing large volumes of gas dispersed in a liquid containing the active substance(s).",
50033400,Intravesical solution/solution for injection,Liquid sterile preparation consisting of a solution intended for intravesical use or for administration by injection.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50034000,Liquefied gas for dental use,,Use discouraged. This is considered to be a medical device and outside the scope of Standard Terms.
50034700,Lyophilisate for use in drinking water,"Solid preparation for veterinary use consisting of a freeze-dried powder intended to be dissolved in the animal drinking water. If alternative methods of administration to individual animals are also authorised, the method of administration is clearly described in the product information.",
50035000,Modified-release film-coated tablet,,Use discouraged. The important characteristic is that the tablet is a modified-release formulation.
50036000,Modified-release granules for oral suspension,Solid preparation consisting of modified-release granules intended to be dispersed in the specified liquid to obtain a modified-release oral suspension. The generic term 'Modified-release granules for oral suspension' is used only when the more-specific terms 'Gastro-resistant granules for oral suspension' or 'Prolonged-release granules for oral suspension' do not apply.,
50036050,"Mouthwash, powder for solution","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a mouthwash.",
50036100,Muco-adhesive buccal prolonged-release tablet,,Term rejected. Muco-adhesive buccal tablets are intended to release the active substance(s) over a prolonged period of time.
50036500,Nasal/oromucosal solution,"Liquid preparation consisting of a solution intended for nasal or oromucosal application. 'Nasal/oromucosal spray, solution' and 'Nasal spray, solution/oromucosal solution' are excluded.",This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50036700,"Nasal/oromucosal spray, solution","Liquid preparation consisting of a solution in a container with or without a metering dose valve or in a container with a spray pump, intended for nasal or oromucosal use.",This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50037000,Nasal spray and oromucosal solution,,Use discouraged.
50037100,"Nasal spray, powder for solution","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a nasal spray solution.",
50037400,"Nasal spray, solution/oromucosal solution",Liquid preparation consisting of a solution intended for use as a nasal spray or an oromucosal solution.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50037500,"Oral drops, granules for solution",Solid preparation consisting of granules intended to be dissolved in the specified liquid to obtain an oral drops solution.,
50037750,"Oral drops, liquid","Liquid, usually multidose preparation consisting of a liquid active substance per se, intended for oral use. The preparation is administered in small volumes by means of a suitable measuring device such as a dropper, pipette or oral syringe capable of accurate dosing of the liquid. The measured dose may be diluted in water or another suitable liquid before swallowing.",
50037900,Oral/rectal solution,Liquid preparation consisting of a solution intended for oral or rectal use.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50038000,Oral/rectal suspension,Liquid preparation consisting of a suspension intended for oral or rectal use.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50038500,Oral solution/concentrate for nebuliser solution,Liquid preparation consisting of a solution intended for oral use or intended to be diluted in the specified liquid to obtain a nebuliser solution.,This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50039000,Oromucosal patch,"Flexible single-dose preparation intended to be applied to the oral cavity to obtain either a systemic or a local effect by delivering the active substance(s) over a certain period of time, after which it is then removed.",
50039500,Oromucosal/laryngopharyngeal solution,"Liquid preparation consisting of a solution intended for oromucosal or laryngopharyngeal use. 'Oromucosal/laryngopharyngeal solution/spray, solution' is excluded.",This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50040000,Oromucosal/laryngopharyngeal solution/spray,,Use discouraged.
50040500,"Oromucosal/laryngopharyngeal solution/spray, solution","Liquid preparation consisting of a solution intended for oromucosal or laryngopharyngeal use, presented in a container with an optional spray device to allow administration as a spray.",This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50043000,Powder for concentrate for solution for infusion,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a concentrate for solution for infusion, which must subsequently be diluted before administration as a solution for infusion.","This term is only to be used in cases where, for safety reasons, the final dilution step must always be carried out before administration."
50048750,Powder for concentrate for dispersion for infusion,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a concentrate for dispersion for infusion, which must subsequently be diluted before administration as a dispersion for infusion.","This term is only to be used in cases where, for safety reasons, the final dilution step must always be carried out before administration."
50049000,Powder for concentrate for haemodialysis solution,,Use discouraged.
50049100,Powder for concentrate for intravesical suspension,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a concentrate for intravesical suspension, which must subsequently be diluted before administration as an intravesical suspension.","This term is only to be used in cases where, for safety reasons, the final dilution step must always be carried out before administration."
50049200,Powder for concentrate for solution for haemodialysis,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a concentrate for solution for haemodialysis, which must subsequently be diluted before use as a solution for haemodialysis.","This term is only to be used in cases where, for safety reasons, the final dilution step must always be carried out before administration."
50049250,Powder for concentrate for solution for injection/infusion,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a concentrate for solution for injection/infusion, which must subsequently be diluted before administration as a solution for injection/infusion.","This term is only to be used in cases where, for safety reasons, the final dilution step must always be carried out before administration."
50049270,Powder for dental solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a dental solution.",
50049300,Powder for epilesional solution,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an epilesional solution.",
50049500,Powder for implantation suspension,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain an implantation suspension.",
50050000,Powder for intravesical solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an intravesical solution.",
50050500,Powder for intravesical solution/solution for injection,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an intravesical solution/solution for injection.",This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50051000,Powder for intravesical suspension,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain an intravesical suspension.",
50051100,Powder for mouth wash,,Use discouraged.
50051500,Powder for nebuliser solution/solution for injection/infusion,,"Term rejected. Such a term is not appropriate for safety reasons, owing to the different microbiological requirements for the routes of administration covered."
50052000,Powder for oral/rectal suspension,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an oral/rectal solution.",This term is only to be used in cases where there is not a single predominant route of administration for the medicinal product.
50053000,Powder for solution for injection or infusion,,Use discouraged.
50053500,Powder for solution for injection/infusion,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a solution for injection/infusion.",
50054000,Powder for solution for intravesical use,,Use discouraged.
50055000,Powder for solution for nasal spray,,Use discouraged.
50055150,Powder for solution/suspension for injection,,"Use discouraged. Use instead 'Powder for solution for injection' or 'Powder for suspension for injection', depending on the physical form resulting from the primary way that it is reconstituted."
50055250,Powder for use in drinking water/milk,"Solid preparation for veterinary use consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the animal drinking water, milk or milk replacer. If alternative methods of administration to individual animals are also authorised, the method of administration is clearly described in the product information.",
50055500,Prolonged-release film-coated tablet,,Term rejected. The important characteristic is that the tablet is a prolonged-release formulation.
50056000,Prolonged-release granules for oral suspension,Solid preparation consisting of prolonged-release granules intended to be dispersed in the specified liquid to obtain a prolonged-release oral suspension.,
50056500,"Radiopharmaceutical precursor, solution",Liquid preparation consisting of a solution containing a radionuclide produced for the radio-labelling of another substance prior to administration.,
50057000,Solution for haemodialysis/haemofiltration,Liquid sterile preparation consisting of a solution intended for use as a solution for haemodialysis or a solution for haemofiltration.,This term is only to be used in cases where there is not a single predominant use for the medicinal product.
50058000,Solution for infusion and oral solution,,"Use discouraged. Such a term is not appropriate for safety reasons, owing to the different microbiological requirements for the routes of administration covered."
50059000,Solution for injection/concentrate for solution for infusion,,Term rejected. It is not necessary to specify 'concentrate' in the term where a product can be administered safely without dilution.
50059500,Solution for injection for euthanasia,,Term rejected.
50060000,Solution for injection/infusion,Liquid sterile single-dose or multidose preparation consisting of a solution intended for administration by injection or infusion.,The preparation is usually diluted before administration by infusion.
50060700,Solution for injection/infusion/rectal use,,"Term rejected. Such a term is not appropriate for safety reasons, owing to the different microbiological requirements for the routes of administration covered."
50061000,Solution for intraperitoneal use,,Use discouraged.
50061300,Solution for use in drinking water,"Liquid preparation for veterinary use consisting of a solution intended for administration by incorporation into the animal drinking water. If direct oral administration to individual animals is also authorised, the method of administration, including any necessary dilution, is clearly described in the product information.",
50061500,Solution for sealant,Liquid sterile preparation consisting of a solution intended for the preparation of a sealant.,
50061600,Solvent for nasal use,,"Term rejected. This terms implies that the solvent is intended for nasal use on its own, rather being used to prepare a medicinal product for nasal use."
50063000,Suspension for infusion,,"Use discouraged. For safety reasons, solid-particle suspensions are not for intravenous use, which is the primary route of administration for infusions. Liquid dispersed formulations, other than solid-particle suspensions and emulsions, are referred to as dispersions."
50063500,Suspension for use in drinking water,"Liquid preparation for veterinary use consisting of a suspension intended for administration by incorporation into the animal drinking water. If direct oral administration to individual animals is also authorised, the method of administration, including any necessary dilution, is clearly described in the product information.",
50066000,Tablet for oral suspension,,Use discouraged.
50068000,Teat dip/spray solution,Liquid preparation intended for use as a teat dip solution or as a teat spray solution.,
50070000,Oral suspension for use in drinking water,,Use discouraged.
50072000,Powder for use in drinking water,"Solid preparation for veterinary use consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the animal drinking water. If alternative methods of administration to individual animals are also authorised, the method of administration is clearly described in the product information.",
50073000,Powder for solution for intraocular irrigation,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a solution for intraocular irrigation.",
50073500,Solution for intraocular irrigation,"Liquid sterile preparation consisting of a solution intended for irrigation of one or more internal structures of the eye, for example during surgical procedures.",
50074000,Solvent for solution for intraocular irrigation,"Liquid sterile preparation consisting of a solvent containing no active substances, intended for use in the preparation of a solution for intraocular irrigation.","This term is only for use when describing a product that is authorised/marketed individually, and not to describe a manufactured item that is part of a product such as 'Powder and solvent for solution for intraocular irrigation'. In such cases, see instead 'Solvent for...'."
50076000,Solvent for solution for infusion,"Liquid sterile preparation consisting of a solvent containing no active substances, intended for use in the preparation of a solution for infusion.","This term is only for use when describing a product that is authorised/marketed individually, and not to describe a manufactured item that is part of a product such as 'Powder and solvent for solution for infusion'. In such cases, see instead 'Solvent for...'."
50077000,Dispersion for injection,"Liquid sterile preparation consisting of two or more phases of which at least one is dispersed in the liquid phase, intended for administration by injection. To be used only when emulsion for injection is not appropriate. Solid suspension preparations are excluded.","For infusions, see 'Dispersion for infusion'."
50079000,Concentrate for solution for injection/infusion,Liquid sterile preparation intended to be diluted in the specified liquid to obtain a solution for injection/infusion.,"This term is only to be used in cases where, for safety reasons, the dilution step must always be carried out before administration."
50081000,Inhalation solution,"Liquid, usually multidose preparation consisting of a solution intended for inhalation use. The preparation is presented in a non-pressurised container fitted with a metering dose mechanism. 'Nebuliser solution' and 'Pressurised inhalation, solution' are excluded.",
50082000,"Oral drops, powder for suspension","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain an oral drops suspension.",
